h3_index,flood_count,year,P1_max,P1_mean,P21_max,P67_max,flood_days,total_days,elevation,slope,flow_acc_log,dist_river,mean_ndwi,max_ndwi,std_ndwi,is_water,center_lat,center_lon
896482c69cbffff,3,2021,1.9,1.6228571428571428,2.25,0.42,0,14,321.3125,2.752913,0.18814376,1382.9111,-0.3448070074938507,0.1222748830914497,0.1954220726613019,False,18.794207,98.975725
896482c6ed7ffff,5,2021,1.9,1.6228571428571428,2.25,0.42,0,14,307.3125,1.0702735,1.2240379,1934.2375,-0.2078646452702928,0.0842572078108787,0.2318364682029598,False,18.79904,99.022442
89648289ac3ffff,1,2021,1.9,1.6228571428571428,2.25,0.42,0,14,307.25,1.6099303,1.0880075,869.5529,-0.1038583710580942,0.0815041586756706,0.1044636805958352,False,18.768387,98.967975
896482898d3ffff,3,2021,1.9,1.6228571428571428,2.25,0.42,0,14,306.33334,1.1864195,0.74470353,1148.119,-0.3115617702956568,0.0274880342185497,0.1853442854108936,False,18.74337,98.963701
896482c6ea3ffff,2,2021,1.9,1.6228571428571428,2.25,0.42,0,14,309.25,1.1111027,0.16471773,602.04456,-0.4134814464962013,0.3586753010749817,0.1843910803466664,False,18.795817,99.00854
896482c6dafffff,2,2021,1.9,1.6228571428571428,2.25,0.42,0,14,305.125,1.4072013,0.5421133,1004.4223,-0.2488111417223447,0.0019568686839193,0.1667951762806568,False,18.770001,98.974925
896482c63b7ffff,2,2021,1.9,1.6228571428571428,2.25,0.42,0,14,305.86667,1.3456845,0.0,2679.54,-0.4039187891869806,0.0541398897767066,0.2088007367535403,False,18.79823,99.031898
89648289253ffff,1,2021,1.9,1.6228571428571428,2.25,0.42,0,14,304.82352,1.2776438,0.0,2502.757,-0.2347230200999069,0.0879911854863166,0.2229093723980507,False,18.768377,99.032631
896482c6107ffff,6,2021,1.9,1.6228571428571428,2.25,0.42,0,14,308.13333,1.1493332,0.60206,1875.9331,-0.2311607823807948,0.1067572981119155,0.2589479558537708,False,18.785323,99.028021
8964828965bffff,1,2021,1.9,1.6228571428571428,2.25,0.42,0,14,303.58823,0.68488896,0.28332236,1167.2816,-0.4187424682127622,0.0056126676499843,0.2033979746014394,False,18.754653,99.051139
896482c6ebbffff,1,2021,1.9,1.6228571428571428,2.25,0.42,0,14,310.625,1.1420995,0.30816776,956.28064,-0.410435487597859,0.0063416054472327,0.1757805799526068,False,18.796623,99.012016
